Baseline 100%T,,HCl,
Wavelength (nm),Abs,Wavelength (nm),Abs
1900,1.403115153,1900,0.035292078
1899.800049,1.411096334,1899.800049,0.035605423
1899.599976,1.416271925,1899.599976,0.037242383
1899.400024,1.423832297,1899.400024,0.034805011
1899.199951,1.428529143,1899.199951,0.037634507
1899,1.427374244,1899,0.037339862
1898.800049,1.419840813,1898.800049,0.039135873
1898.599976,1.412640929,1898.599976,0.036128409
1898.400024,1.400545597,1898.400024,0.035872262
1898.199951,1.384639859,1898.199951,0.033740629
1898,1.372944832,1898,0.03502506
1897.800049,1.358820677,1897.800049,0.038184419
1897.599976,1.35109818,1897.599976,0.03791672
1897.400024,1.340584636,1897.400024,0.035336528
1897.199951,1.33196032,1897.199951,0.037332643
1897,1.319085717,1897,0.036396585
1896.800049,1.309258103,1896.800049,0.037983559
1896.599976,1.298493385,1896.599976,0.040674455
1896.400024,1.289384961,1896.400024,0.041347288
1896.199951,1.284716845,1896.199951,0.039127432
1896,1.279998899,1896,0.03874737
1895.800049,1.275990486,1895.800049,0.0389519
1895.599976,1.27051425,1895.599976,0.037831903
1895.400024,1.267425179,1895.400024,0.040700324
1895.199951,1.266344905,1895.199951,0.038673934
1895,1.269206762,1895,0.039587356
1894.800049,1.273763895,1894.800049,0.038905777
1894.599976,1.275444031,1894.599976,0.039120659
1894.400024,1.279619217,1894.400024,0.039844994
1894.199951,1.283239841,1894.199951,0.039371785
1894,1.288064241,1894,0.039548621
1893.800049,1.291351914,1893.800049,0.039434001
1893.599976,1.298334479,1893.599976,0.038949009
1893.400024,1.308596969,1893.400024,0.037775394
1893.199951,1.31402564,1893.199951,0.035961706
1893,1.316305637,1893,0.036594346
1892.800049,1.318894506,1892.800049,0.034416553
1892.599976,1.317465663,1892.599976,0.039491974
1892.400024,1.320178628,1892.400024,0.039353874
1892.199951,1.320447803,1892.199951,0.036891274
1892,1.321074486,1892,0.038570549
1891.800049,1.321136594,1891.800049,0.038436927
1891.599976,1.323126197,1891.599976,0.03667073
1891.400024,1.320398927,1891.400024,0.03915675
1891.199951,1.322647929,1891.199951,0.035578448
1891,1.325873971,1891,0.034356482
1890.800049,1.325438976,1890.800049,0.036839619
1890.599976,1.326798081,1890.599976,0.038494766
1890.400024,1.331994414,1890.400024,0.03728212
1890.199951,1.333668709,1890.199951,0.036529977
1890,1.335594296,1890,0.037401367
1889.800049,1.336523771,1889.800049,0.037628718
1889.599976,1.330637336,1889.599976,0.035743769
1889.400024,1.325867772,1889.400024,0.036701713
1889.199951,1.314850926,1889.199951,0.039247949
1889,1.309610844,1889,0.037187897
1888.800049,1.296060801,1888.800049,0.040616155
1888.599976,1.288501143,1888.599976,0.040038601
1888.400024,1.280394316,1888.400024,0.03887305
1888.199951,1.275560737,1888.199951,0.038189452
1888,1.269445658,1888,0.038180154
1887.800049,1.265921593,1887.800049,0.036785074
1887.599976,1.264028072,1887.599976,0.038323253
1887.400024,1.265664935,1887.400024,0.037418406
1887.199951,1.266846061,1887.199951,0.039563026
1887,1.272331715,1887,0.040467948
1886.800049,1.274874449,1886.800049,0.039589085
1886.599976,1.282064199,1886.599976,0.038806695
1886.400024,1.284920454,1886.400024,0.038117126
1886.199951,1.285417557,1886.199951,0.039430205
1886,1.283674836,1886,0.039294589
1885.800049,1.282240868,1885.800049,0.03897192
1885.599976,1.28384614,1885.599976,0.03910562
1885.400024,1.287617087,1885.400024,0.040180948
1885.199951,1.293344378,1885.199951,0.038870048
1885,1.295434356,1885,0.039341915
1884.800049,1.299270153,1884.800049,0.039300796
1884.599976,1.301977277,1884.599976,0.039099075
1884.400024,1.305115938,1884.400024,0.038096186
1884.199951,1.308650374,1884.199951,0.037453141
1884,1.314712167,1884,0.038110852
1883.800049,1.318531752,1883.800049,0.039272569
1883.599976,1.320945621,1883.599976,0.03704593
1883.400024,1.318601608,1883.400024,0.037411917
1883.199951,1.308826804,1883.199951,0.036960632
1883,1.299710751,1883,0.039651785
1882.800049,1.292449951,1882.800049,0.037560552
1882.599976,1.284725904,1882.599976,0.040030822
1882.400024,1.280133009,1882.400024,0.039947916
1882.199951,1.275087476,1882.199951,0.039672207
1882,1.272174239,1882,0.04013288
1881.800049,1.269595385,1881.800049,0.040133391
1881.599976,1.267871976,1881.599976,0.039167713
1881.400024,1.268764853,1881.400024,0.039655332
1881.199951,1.272077322,1881.199951,0.039227124
1881,1.274792075,1881,0.041548941
1880.800049,1.277925014,1880.800049,0.039697137
1880.599976,1.279545069,1880.599976,0.040737484
1880.400024,1.279770136,1880.400024,0.03911021
1880.199951,1.278623581,1880.199951,0.038696319
1880,1.273535967,1880,0.040431298
1879.800049,1.271795988,1879.800049,0.039303884
1879.599976,1.26812017,1879.599976,0.038763955
1879.400024,1.266733885,1879.400024,0.037089232
1879.199951,1.262992144,1879.199951,0.0379637
1879,1.259619594,1879,0.038412098
1878.800049,1.259709954,1878.800049,0.038034979
1878.599976,1.259196401,1878.599976,0.037765197
1878.400024,1.264001131,1878.400024,0.039476041
1878.199951,1.269911408,1878.199951,0.04165053
1878,1.28073597,1878,0.040704075
1877.800049,1.29055047,1877.800049,0.040393513
1877.599976,1.303514361,1877.599976,0.038300462
1877.400024,1.312864184,1877.400024,0.039044783
1877.199951,1.322787762,1877.199951,0.039502889
1877,1.33398056,1877,0.038275868
1876.800049,1.344013691,1876.800049,0.03877208
1876.599976,1.357778192,1876.599976,0.038355514
1876.400024,1.361989498,1876.400024,0.037818287
1876.199951,1.358457446,1876.199951,0.036903702
1876,1.353753805,1876,0.037675157
1875.800049,1.348566532,1875.800049,0.038945388
1875.599976,1.345193863,1875.599976,0.040725656
1875.400024,1.341427684,1875.400024,0.037805833
1875.199951,1.341394305,1875.199951,0.039425015
1875,1.341948748,1875,0.038996495
1874.800049,1.340612531,1874.800049,0.040291876
1874.599976,1.341343522,1874.599976,0.037848961
1874.400024,1.349077463,1874.400024,0.03583521
1874.199951,1.360072732,1874.199951,0.039157089
1874,1.376476765,1874,0.038439728
1873.800049,1.390267849,1873.800049,0.035807069
1873.599976,1.408892035,1873.599976,0.036035277
1873.400024,1.417183518,1873.400024,0.039816394
1873.199951,1.431021333,1873.199951,0.036872532
1873,1.436746478,1873,0.035194688
1872.800049,1.442541242,1872.800049,0.036420483
1872.599976,1.448187351,1872.599976,0.037826564
1872.400024,1.446210146,1872.400024,0.034868907
1872.199951,1.440469742,1872.199951,0.039606012
1872,1.437134624,1872,0.038402088
1871.800049,1.435583234,1871.800049,0.033774428
1871.599976,1.430882215,1871.599976,0.03849078
1871.400024,1.434986472,1871.400024,0.03393548
1871.199951,1.437054634,1871.199951,0.037650313
1871,1.440103292,1871,0.036467668
1870.800049,1.442988634,1870.800049,0.033811081
1870.599976,1.44741261,1870.599976,0.03746872
1870.400024,1.447024584,1870.400024,0.036765661
1870.199951,1.441638947,1870.199951,0.036010049
1870,1.431218266,1870,0.036686081
1869.800049,1.416072845,1869.800049,0.037802503
1869.599976,1.406298399,1869.599976,0.039153066
1869.400024,1.401703715,1869.400024,0.035215266
1869.199951,1.395143151,1869.199951,0.036971539
1869,1.391239762,1869,0.036318563
